County,2014 Cases,2015 Cases,2016 Cases,2017 Cases,2018 Cases,2019 Cases,2020 Cases,2021 Cases,2022 Cases,2023 Cases
Ochiltree,1,1,0,0,0,0,0,0,0,1
Oldham,0,0,0,0,0,0,0,0,0,0
Orange,0,0,1,0,1,0,2,0,0,0
Palo Pinto,0,0,2,0,0,0,0,0,0,0
Panola,0,0,0,1,0,0,0,0,0,0
Parker,1,2,2,0,0,0,0,0,0,0
Parmer,2,0,0,0,0,0,0,2,0,0
Pecos,0,0,1,0,0,0,0,0,0,0
Polk,1,0,2,0,0,0,0,0,0,0
Potter,10,6,0,1,0,1,0,1,0,2
Presidio,0,0,1,0,0,0,0,0,0,0
Rains,0,0,1,0,0,0,0,0,0,0
Randall,18,9,1,1,1,0,0,3,1,8
Reagan,0,0,0,0,0,0,0,0,0,0
Real,0,0,0,0,0,0,0,0,0,0
Red River,0,0,1,0,0,0,1,0,0,0
Reeves,0,0,0,0,0,0,0,0,0,0
Refugio,0,0,0,0,0,0,0,0,0,0
Roberts,0,0,0,0,1,0,0,0,0,0
Robertson,0,0,0,0,0,0,0,0,0,0
Rockwall,0,0,1,1,0,0,0,0,0,0
Runnels,1,1,1,0,0,0,0,0,0,0
Rusk,0,1,2,0,0,0,0,0,0,0
Sabine,0,0,0,0,0,0,0,0,0,0
San Augustine,0,0,0,0,0,0,0,0,0,0
San Jacinto,0,1,0,0,0,0,0,0,0,0
San Patricio,0,0,0,1,0,0,0,0,0,0
San Saba,0,0,0,0,0,0,0,0,0,0
Schleicher,0,0,0,0,0,0,0,0,0,0
Scurry,0,2,0,0,0,0,0,0,0,0
Shackelford,0,0,0,0,0,0,0,0,0,0
Shelby,0,0,0,0,0,0,0,0,0,0
Sherman,0,1,0,0,0,0,0,0,0,0
Smith,1,3,5,1,4,0,0,0,0,4
Somervell,0,0,0,0,0,0,0,0,0,0
Starr,0,0,0,0,0,0,0,0,0,0
Stephens,0,0,0,0,0,0,0,0,0,0
Sterling,0,0,0,1,0,0,0,0,0,0
Stonewall,0,0,0,0,0,0,0,0,0,0
Sutton,0,0,0,0,0,0,0,0,0,0
Swisher,3,1,0,1,0,0,0,0,0,1
Tarrant,16,30,44,20,18,1,16,4,2,9
Taylor,1,2,0,0,0,0,0,0,0,1
Terrell,0,0,0,0,0,0,0,0,0,0
Terry,0,0,0,0,0,0,0,0,0,0
Throckmorton,0,0,0,0,0,0,0,0,0,0
Titus,0,0,1,0,0,0,0,0,0,0
Tom Green,4,1,0,0,1,1,0,0,0,0
Travis,6,0,3,0,4,0,4,3,1,3
Trinity,0,0,1,0,1,0,0,0,0,0
Tyler,0,0,0,0,0,0,0,0,0,0
Upshur,0,1,1,0,0,0,0,0,0,1
Upton,0,0,0,0,0,0,0,0,0,0
Uvalde,2,1,0,0,0,0,0,0,0,0
Val Verde,0,1,0,1,0,0,0,0,0,0
Van Zandt,0,0,5,2,0,0,0,0,0,0
Victoria,0,1,0,0,0,0,0,0,0,1
Walker,2,1,0,0,1,0,0,0,0,0
Waller,1,1,2,0,0,0,0,1,0,0
Ward,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0
Webb,0,1,0,1,1,0,0,0,0,0
Wharton,0,0,1,0,1,0,0,0,1,0
Wheeler,0,2,0,1,0,0,0,0,0,0
Wichita,0,3,0,0,0,0,0,0,0,0
Wilbarger,0,0,0,0,0,0,0,0,0,0
Willacy,0,0,0,0,0,0,0,0,0,0
Williamson,3,0,2,1,0,0,3,0,1,1
Wilson,0,0,1,0,0,0,0,0,0,0
Winkler,0,0,0,0,0,0,0,0,0,0
Wise,1,0,1,0,0,0,0,0,0,0
Wood,0,0,4,0,0,0,0,0,0,0
Yoakum,0,0,0,0,0,0,0,1,0,0
Young,0,0,0,0,0,0,0,0,0,0
Zapata,0,0,0,0,0,0,0,0,0,0
Zavala,0,1,0,0,0,0,0,0,0,1
